ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count
Kigali City,Nyarugenge,Gitega,RW1101,30.248611450195312,37.057373046875,4.39701783782886,22726.2578125,22726.2578125,19.8609,2,0
Kigali City,Nyarugenge,Kanyinya,RW1102,2.682175485711349,11.35682487487793,1.5804660398731707,1896.2553385416666,56887.66015625,4.4369,2,0
Kigali City,Nyarugenge,Kigali,RW1103,4.426003560532618,16.59145164489746,3.5689176865726067,1599.624747983871,49588.3671875,7.2218,1,0
Kigali City,Nyarugenge,Kimisagara,RW1104,14.054430448091948,30.4676570892334,7.248187968212654,20985.2421875,62955.7265625,15.0607,9,0
Kigali City,Nyarugenge,Mageregere,RW1105,1.2733702659606934,4.67155122756958,1.1558735676493002,627.9979567307693,40819.8671875,3.7909,2,0
Kigali City,Nyarugenge,Muhima,RW1106,34.448437030498795,46.990333557128906,6.469979243770517,7336.042317708333,22008.126953125,12.3141,29,0
Kigali City,Nyarugenge,Nyakabanda,RW1107,12.862579345703125,22.994333267211914,5.67584504390981,13995.287760416666,41985.86328125,12.9946,2,0
Kigali City,Nyarugenge,Nyamirambo,RW1108,10.053359613185975,25.758438110351562,7.2499235221629394,6129.697443181818,67426.671875,11.567,16,0
Kigali City,Nyarugenge,Nyarugenge,RW1109,38.10875302269345,56.727745056152344,9.090518584671221,5171.477864583333,31028.8671875,13.0172,51,0
Kigali City,Nyarugenge,Rwezamenyo,RW1110,24.796351623535156,32.85737609863281,4.305358693223896,13041.072265625,13041.072265625,16.4527,8,0
Kigali City,Gasabo,Bumbogo,RW1201,3.9483646831445993,24.471195220947266,5.3024864507652785,1197.3974471830986,85015.21875,5.8481,3,0
Kigali City,Gasabo,Gatsata,RW1202,7.977414812360491,24.96153450012207,4.584517965089865,9502.4189453125,76019.3515625,8.9852,3,0
Kigali City,Gasabo,Gikomero,RW1203,0.03575109398883322,0.9430645108222961,0.16886521868973325,598.3117732558139,25727.40625,4.2662,0,0
Kigali City,Gasabo,Gisozi,RW1204,16.78075714111328,28.847902297973633,5.119733408783242,13749.3125,123743.8125,10.7491,41,0
Kigali City,Gasabo,Jabana,RW1205,4.309497987603866,22.220624923706055,4.418632805937905,1737.1817255434783,79910.359375,5.766,5,0
Kigali City,Gasabo,Jali,RW1206,1.362862030205699,10.22783374786377,1.831044266923312,857.541015625,34301.640625,5.0391,1,0
Kigali City,Gasabo,Kacyiru,RW1207,30.24511249248798,37.98317337036133,4.862027372890334,6272.6640625,43908.6484375,14.6407,24,0
Kigali City,Gasabo,Kimihurura,RW1208,40.80388916015625,91.43111419677734,17.493532450149452,4743.379231770833,28460.275390625,14.708,13,0
Kigali City,Gasabo,Kimironko,RW1209,24.896901633522727,55.18730163574219,8.476045896305253,7106.959821428572,99497.4375,15.2625,62,0
Kigali City,Gasabo,Kinyinya,RW1210,13.60660879952567,43.689842224121094,9.182241743554869,5572.0546875,144873.421875,9.4186,33,0
Kigali City,Gasabo,Ndera,RW1211,5.699356537520118,21.814849853515625,5.096754227960746,1446.6572443181817,79566.1484375,8.1335,11,0
Kigali City,Gasabo,Nduba,RW1212,2.5632421190493573,11.565535545349121,2.5620805168134777,841.5975864955357,47129.46484375,5.8517,1,0
Kigali City,Gasabo,Remera,RW1213,39.374267578125,87.32273864746094,16.10100737654374,8456.866319444445,76111.796875,15.6248,60,0
Kigali City,Gasabo,Rusororo,RW1214,4.130073391661352,27.604923248291016,5.419218371010171,961.4805349576271,56727.3515625,6.2062,9,0
Kigali City,Gasabo,Rutunga,RW1215,0.12301297923225668,1.3698182106018066,0.31015330779569805,514.2858737244898,25200.0078125,4.0347,0,0
Kigali City,Kicukiro,Gahanga,RW1301,6.820915265271893,19.700000762939453,4.4488891905644055,1283.5505087209303,55192.671875,5.7866,3,0
Kigali City,Kicukiro,Gatenga,RW1302,13.143138820842161,29.42508316040039,6.8324982187752,6170.6982421875,98731.171875,13.9808,16,0
Kigali City,Kicukiro,Gikondo,RW1303,22.500196184430802,27.92353630065918,3.187811245944824,5477.779947916667,16433.33984375,14.3661,7,0
Kigali City,Kicukiro,Kagarama,RW1304,18.015655517578125,31.821331024169922,5.569703148228665,2089.1701388888887,18802.53125,11.9838,3,0
Kigali City,Kicukiro,Kanombe,RW1305,11.921663411458333,41.5798454284668,8.085930612891717,2576.527478448276,74719.296875,9.454,29,0
Kigali City,Kicukiro,Kicukiro,RW1306,28.183984375,35.46580505371094,4.618023906220172,8445.699869791666,25337.099609375,15.8526,21,0
Kigali City,Kicukiro,Kigarama,RW1307,16.1606132693407,25.02428436279297,5.087036199677874,7313.472222222223,65821.25,13.6731,14,0
Kigali City,Kicukiro,Masaka,RW1308,4.42474865522541,23.87483024597168,5.271981924325134,1096.9257192460318,69106.3203125,6.5795,8,0
Kigali City,Kicukiro,Niboye,RW1309,28.22759755452474,44.988407135009766,8.943255260433466,5972.571875,29862.859375,14.583,23,0
Kigali City,Kicukiro,Nyarugunga,RW1310,21.067210286458334,44.603878021240234,9.408884987281903,3733.3059210526317,70932.8125,10.7158,29,0
Southern Province,Nyanza,Busasamana,RW2101,1.4245528844527868,7.7714996337890625,1.6204496208071597,1063.0078125,60591.4453125,5.358,9,0
Southern Province,Nyanza,Busoro,RW2102,0.2750948135776353,7.917544364929199,0.7484763905702196,594.4233842329545,52309.2578125,2.6605,2,0
Southern Province,Nyanza,Cyabakamyi,RW2103,0.0,0.0,0.0,433.97339898767603,30812.111328125,3.8518,2,0
Southern Province,Nyanza,Kibilizi,RW2104,0.010664100499497247,1.126031756401062,0.08890282163059912,528.9966755319149,49725.6875,3.0973,3,0
Southern Province,Nyanza,Kigoma,RW2105,0.2756589130290504,2.5307016372680664,0.4886153741347668,653.0576714409722,47020.15234375,3.3611,1,0
Southern Province,Nyanza,Mukingo,RW2106,0.1797358194986979,1.5205357074737549,0.356005911878008,1052.7856889204545,92645.140625,3.4672,2,0
Southern Province,Nyanza,Muyira,RW2107,0.2576284558361113,1.794918179512024,0.4520081700673754,624.0896045918367,61160.78125,2.9653,2,0
Southern Province,Nyanza,Ntyazo,RW2108,0.07721237971864897,1.6524559259414673,0.24057696297342604,626.246254280822,45715.9765625,3.7882,2,0
Southern Province,Nyanza,Nyagisozi,RW2109,0.053360801179148806,2.8368334770202637,0.2642554588717494,431.33115808823527,36663.1484375,3.8726,3,0
Southern Province,Nyanza,Rwabicuma,RW2110,0.08232713514758695,1.7591668367385864,0.2656326036461929,507.1106770833333,28905.30859375,4.2073,2,0
Southern Province,Gisagara,Gikonko,RW2201,0.024232950333361973,0.7149180173873901,0.11599768573598093,600.6229475635594,35436.75390625,3.2382,3,0
Southern Province,Gisagara,Gishubi,RW2202,0.010042671499581173,0.7442424893379211,0.07666021166299757,552.3879523026316,41981.484375,3.1166,1,0
Southern Province,Gisagara,Kansi,RW2203,0.029071710547622368,0.7599999308586121,0.1272707866120975,435.1279703776042,20886.142578125,3.8592,2,0
Southern Province,Gisagara,Kibirizi,RW2204,0.9473694334638879,6.985080242156982,1.0672014888635657,714.4481608072916,34293.51171875,4.0915,3,0
Southern Province,Gisagara,Kigembe,RW2205,0.014077287799907181,0.7139683365821838,0.08443715911194553,460.1002604166667,23465.11328125,3.1272,0,0
Southern Province,Gisagara,Mamba,RW2206,0.29545741385601937,10.81344223022461,1.076335863831553,572.6027434593024,49243.8359375,2.9989,2,0
Southern Province,Gisagara,Muganza,RW2207,0.0,0.0,0.0,547.1500692246835,43224.85546875,2.4499,1,0
Southern Province,Gisagara,Mugombwa,RW2208,0.021941466673517027,0.6839999556541443,0.10611171625044222,532.1939991918103,30867.251953125,3.5585,1,0
Southern Province,Gisagara,Mukindo,RW2209,0.0,0.0,0.0,590.8999660326087,27181.3984375,3.2444,1,0
Southern Province,Gisagara,Musha,RW2210,0.11579049754346538,2.519364833831787,0.3580894419772337,611.6496930803571,34252.3828125,2.8514,2,0
Southern Province,Gisagara,Ndora,RW2211,0.3870464634979572,4.846507549285889,0.7562885731512178,484.33318661971833,34387.65625,3.5483,2,0
Southern Province,Gisagara,Nyanza,RW2212,0.10033328230209772,1.717376947402954,0.28905744904386915,488.7416294642857,17105.95703125,3.3462,1,0
Southern Province,Gisagara,Save,RW2213,0.577219564447958,3.8960654735565186,0.8530756312168503,761.0255102040817,37290.25,5.0593,2,0
Southern Province,Nyaruguru,Busanze,RW2301,0.055570855198136294,1.08650803565979,0.17303412941511068,470.9178631756757,34847.921875,4.0844,1,0
Southern Province,Nyaruguru,Cyahinda,RW2302,0.05847933197021484,1.5640323162078857,0.20154931762336853,468.9822617827869,28607.91796875,4.9894,2,0
Southern Province,Nyaruguru,Kibeho,RW2303,0.3191550979822143,6.127626419067383,0.7925846412936627,353.67771337365593,32892.02734375,3.0412,0,0
Southern Province,Nyaruguru,Kivu,RW2304,0.023388670561851198,1.1370174884796143,0.11609103621195094,175.21569991438355,25581.4921875,1.794,1,0
Southern Province,Nyaruguru,Mata,RW2305,0.05370968763331911,1.0616949796676636,0.1775821727233139,292.4471072635135,21641.0859375,4.4274,1,0
Southern Province,Nyaruguru,Muganza,RW2306,0.02598536042474751,1.1595312356948853,0.12700812340616424,235.91729266826923,24535.3984375,2.3965,1,0
Southern Province,Nyaruguru,Munini,RW2307,0.23071960166648584,4.015312671661377,0.6105179625427215,343.354564525463,18541.146484375,4.1871,2,0
Southern Province,Nyaruguru,Ngera,RW2308,0.07008169719151087,0.8301538825035095,0.19609809298810948,424.8278985507246,29313.125,3.7207,0,0
Southern Province,Nyaruguru,Ngoma,RW2309,0.09840541226523263,0.7731147408485413,0.22110218426360026,621.2351792279412,31682.994140625,3.7107,1,0
Southern Province,Nyaruguru,Nyabimata,RW2310,0.06676058161178691,1.2857142686843872,0.19780558433698572,172.5379971590909,24672.93359375,1.8332,2,0
Southern Province,Nyaruguru,Nyagisozi,RW2311,0.02398081168443143,0.6475409865379333,0.10816822001180368,583.4185112847222,21003.06640625,5.0,2,0
Southern Province,Nyaruguru,Ruheru,RW2312,0.06661375427246094,3.0953571796417236,0.28631779714819683,555.5296285377359,58886.140625,2.0989,2,0
Southern Province,Nyaruguru,Ruramba,RW2313,0.0,0.0,0.0,389.7603945974576,22995.86328125,4.3837,0,0
Southern Province,Nyaruguru,Rusenge,RW2314,0.11094078810318657,1.522033929824829,0.2892588091464752,482.22494419642857,33755.74609375,3.7768,1,0
Southern Province,Huye,Gishamvu,RW2401,0.0,0.0,0.0,506.51613136574076,13675.935546875,3.993,1,0
Southern Province,Huye,Huye,RW2402,0.3826970479574548,3.8879311084747314,0.6309407862559434,752.598037347561,30856.51953125,5.0514,2,0
Southern Province,Huye,Karama,RW2403,0.0,0.0,0.0,359.02740778688525,21900.671875,3.7706,0,0
Southern Province,Huye,Kigoma,RW2404,0.1243800239084156,1.2548387050628662,0.30600768811110557,554.6743489583333,33280.4609375,4.6975,2,0
Southern Province,Huye,Kinazi,RW2405,0.20445354528594437,1.8868333101272583,0.38155986543970655,594.2662168560606,39221.5703125,3.8178,0,0
Southern Province,Huye,Maraba,RW2406,0.12002505630743308,1.5574136972427368,0.27442371550532,528.7021484375,30664.724609375,3.9352,0,0
Southern Province,Huye,Mbazi,RW2407,0.7996816924124053,4.928225517272949,0.9800459206953928,869.4348404255319,40863.4375,4.9768,0,0
Southern Province,Huye,Mukura,RW2408,0.6738974301869632,3.9413797855377197,0.8778157287718927,769.4167258522727,25390.751953125,4.4404,2,0
Southern Province,Huye,Ngoma,RW2409,5.246456298828125,16.437580108642578,4.347616297912273,1337.359619140625,32096.630859375,7.1186,27,0
Southern Province,Huye,Ruhashya,RW2410,0.24539996626039431,3.440000057220459,0.46344394861601185,594.1011584051724,34457.8671875,4.6659,1,0
Southern Province,Huye,Rusatira,RW2411,0.3622817035499477,1.8779032230377197,0.4391431124600866,602.1514136904761,37935.5390625,4.0284,1,0
Southern Province,Huye,Rwaniro,RW2412,0.0,0.0,0.0,502.85228365384614,32685.3984375,4.367,1,0
Southern Province,Huye,Simbi,RW2413,0.07224112327652749,1.1970689296722412,0.2293952972098883,563.838671875,28191.93359375,4.4335,3,0
Southern Province,Huye,Tumba,RW2414,2.202471663312214,7.919530868530273,1.9817789773759498,2393.0671164772725,52647.4765625,7.9806,4,0
Southern Province,Nyamagabe,Buruhukiro,RW2501,0.028360005127619266,1.6670268774032593,0.15288090653586286,167.9699176290761,30906.46484375,1.1808,1,0
Southern Province,Nyamagabe,Cyanika,RW2502,0.036877016382893237,0.819636344909668,0.14856188179981936,560.4128654233871,34745.59765625,3.8852,0,0
Southern Province,Nyamagabe,Gasaka,RW2503,0.9853842599051339,8.089643478393555,1.3497493454861083,1468.5492021276596,69021.8125,4.8476,3,0
Southern Province,Nyamagabe,Gatare,RW2504,0.03901787061949034,1.285641074180603,0.16775859223722714,268.47645399305554,19330.3046875,3.0365,2,0
Southern Province,Nyamagabe,Kaduha,RW2505,0.05946323004635898,1.7667306661605835,0.23209483446295143,321.3209186422414,27954.919921875,3.3334,2,0
Southern Province,Nyamagabe,Kamegeri,RW2506,0.023152467451597516,0.7934482097625732,0.109081682035274,482.10810546875,19284.32421875,4.0009,0,0
Southern Province,Nyamagabe,Kibirizi,RW2507,0.058678458008585094,0.9699999094009399,0.18358187753469832,568.6641949152543,33551.1875,3.8926,1,0
Southern Province,Nyamagabe,Kibumbwe,RW2508,0.0,0.0,0.0,294.46219544491527,17373.26953125,2.8625,0,0
Southern Province,Nyamagabe,Kitabi,RW2509,0.3496343805926487,2.4263463020324707,0.5794976076231891,280.93198939732144,31464.3828125,2.6145,2,0
Southern Province,Nyamagabe,Mbazi,RW2510,0.0,0.0,0.0,431.4009415064103,16824.63671875,2.7319,1,0
Southern Province,Nyamagabe,Mugano,RW2511,0.01060949591384537,1.1769089698791504,0.08341432408009268,268.8162745786517,23924.6484375,3.129,1,0
Southern Province,Nyamagabe,Musange,RW2512,0.0,0.0,0.0,406.35210503472223,29257.3515625,4.1232,1,0
Southern Province,Nyamagabe,Musebeya,RW2513,0.04312836354778659,1.430925965309143,0.18204264355997876,344.76754662298384,21375.587890625,3.0299,1,0
Southern Province,Nyamagabe,Mushubi,RW2514,0.0019893492819994863,0.3362000286579132,0.025784913710405054,366.8487995426829,15040.80078125,4.0729,1,0
Southern Province,Nyamagabe,Nkomane,RW2515,0.0,0.0,0.0,211.65159574468086,19895.25,2.5604,1,0
Southern Province,Nyamagabe,Tare,RW2516,0.31941945929276316,2.883448600769043,0.5739131309959459,590.0581597222222,31863.140625,4.6417,1,0
Southern Province,Nyamagabe,Uwinkingi,RW2517,0.20385255701401656,2.365999937057495,0.451684612030519,319.9350678066038,33913.1171875,3.0498,1,0
Southern Province,Ruhango,Bweramana,RW2601,0.13906026440997457,2.382777690887451,0.35262730954392413,687.3151041666666,43300.8515625,4.3691,2,0
Southern Province,Ruhango,Byimana,RW2602,0.7002128416279195,12.175740242004395,1.3443071542651406,626.6264982876712,45743.734375,4.0609,0,0
Southern Province,Ruhango,Kabagali,RW2603,0.047083578345632385,1.5498113632202148,0.20457970924921404,451.30502232142857,31591.3515625,4.1095,1,0
Southern Province,Ruhango,Kinazi,RW2604,0.14559576558131798,3.331295967102051,0.39560983179198883,774.8956310679612,79814.25,3.2488,5,0
Southern Province,Ruhango,Kinihira,RW2605,0.047195384200190156,1.7737737894058228,0.2116798787108521,474.31830357142854,33202.28125,3.277,2,0
Southern Province,Ruhango,Mbuye,RW2606,0.07101969498054858,1.1846551895141602,0.21914309853363675,641.2743195564516,59638.51171875,3.0643,3,0
Southern Province,Ruhango,Mwendo,RW2607,0.0021510874952068767,0.5635849237442017,0.03475188202876555,549.7628847947761,36834.11328125,3.088,2,0
Southern Province,Ruhango,Ntongwe,RW2608,0.006123227906296621,0.6118965148925781,0.056767150846601375,497.71695772058825,42305.94140625,2.7506,1,0
Southern Province,Ruhango,Ruhango,RW2609,0.6073678823617789,8.471272468566895,1.1394687566588326,853.893434758772,97343.8515625,4.1051,6,0
Southern Province,Muhanga,Cyeza,RW2701,0.24832726937753183,5.462075233459473,0.6526137358885801,561.2620793269231,36482.03515625,4.6806,6,0
Southern Province,Muhanga,Kabacuzi,RW2702,0.010598837147353391,0.7371154427528381,0.0810581710205768,354.86805050872096,30518.65234375,3.924,5,0
Southern Province,Muhanga,Kibangu,RW2703,0.0,0.0,0.0,431.30210658482144,24152.91796875,4.8657,1,0
Southern Province,Muhanga,Kiyumba,RW2704,0.041431136456014435,1.2150943279266357,0.15891755853859305,343.0097931338028,24353.6953125,4.6985,2,0
Southern Province,Muhanga,Muhanga,RW2705,0.19339657813003383,1.7948076725006104,0.35007249104433036,449.02158717105266,34125.640625,3.4143,0,0
Southern Province,Muhanga,Mushishiro,RW2706,0.009766649914927691,0.6857692003250122,0.07725137091674343,382.9591103830645,23743.46484375,3.2782,0,0
Southern Province,Muhanga,Nyabinoni,RW2707,0.0,0.0,0.0,417.51328125,18788.09765625,3.1506,2,0
Southern Province,Muhanga,Nyamabuye,RW2708,2.6317285690864507,12.986347198486328,2.8801537748701707,1917.4597886029412,65193.6328125,7.1758,12,0
Southern Province,Muhanga,Nyarusange,RW2709,0.04138388469301421,0.8670370578765869,0.15938831217525212,454.0023107394366,32234.1640625,2.9436,1,0
Southern Province,Muhanga,Rongi,RW2710,0.0,0.0,0.0,411.28145559210526,39071.73828125,3.5498,4,0
Southern Province,Muhanga,Rugendabari,RW2711,0.13309608459472655,1.106600046157837,0.28899157001033543,408.1206640625,20406.033203125,3.466,1,0
Southern Province,Muhanga,Shyogwe,RW2712,1.7395885718796782,9.275849342346191,2.0310087581055316,1409.5768229166667,59202.2265625,6.1735,4,0
Southern Province,Kamonyi,Gacurabwenge,RW2801,0.5968192988990718,3.2219998836517334,0.6811677507217401,684.3815545550848,40378.51171875,4.3534,2,0
Southern Province,Kamonyi,Karama,RW2802,0.01762857164655413,0.6890565156936646,0.10314790378773168,469.70649857954544,20667.0859375,3.8471,2,0
Southern Province,Kamonyi,Kayenzi,RW2803,0.0747366993367171,1.039107084274292,0.2234697453873761,599.8424920550848,35390.70703125,4.3506,0,0
Southern Province,Kamonyi,Kayumbu,RW2804,0.0,0.0,0.0,510.829638671875,20433.185546875,3.4682,1,0
Southern Province,Kamonyi,Mugina,RW2805,0.09418275824003813,1.5229412317276,0.27157662332192295,577.6100886418269,60071.44921875,2.9972,1,0
Southern Province,Kamonyi,Musambira,RW2806,0.25495623902186454,1.6606557369232178,0.42636810884651244,640.657200168919,47408.6328125,3.5629,0,0
Southern Province,Kamonyi,Ngamba,RW2807,0.18798179884214658,2.211724042892456,0.39761008231890693,509.6233723958333,18346.44140625,3.9606,0,0
Southern Province,Kamonyi,Nyamiyaga,RW2808,0.011913238825190681,1.2373437881469727,0.09789875743519925,691.5688004032259,64315.8984375,3.9977,1,0
Southern Province,Kamonyi,Nyarubaka,RW2809,0.319576899210612,2.450861930847168,0.5315231648782537,680.7005208333334,36757.828125,4.1583,0,0
Southern Province,Kamonyi,Rugarika,RW2810,0.8012594753145147,4.669166564941406,1.0018563990846803,629.3800035112359,56014.8203125,4.4867,4,0
Southern Province,Kamonyi,Rukoma,RW2811,0.14939711004866604,1.786333441734314,0.35875099908716707,722.84296875,43370.578125,4.4574,3,0
Southern Province,Kamonyi,Runda,RW2812,3.0214899236505683,11.360794067382812,2.596427818784825,953.8926741803278,58187.453125,7.241,5,0
Western Province,Karongi,Bwishyura,RW3101,1.0223073371778733,6.428809642791748,1.1070103749242641,823.0041360294117,41973.2109375,5.4323,6,0
Western Province,Karongi,Gashari,RW3102,0.01757438822942949,0.6600000262260437,0.09850162762525344,350.79736328125,22451.03125,3.1682,2,0
